,cluster,names,president,x_vals,y_vales
252,1,Speech_252,Franklin Delano Roosevelt,0.6517627318833036,-0.2607702902564822
253,5,Speech_253,Franklin Delano Roosevelt,-0.007206099081712079,0.11583605001279021
254,8,Speech_254,Franklin Delano Roosevelt,0.16090520911863843,-0.09210483675453823
255,3,Speech_255,Franklin Delano Roosevelt,-0.1714163357832953,0.0937987208275529
256,1,Speech_256,Franklin Delano Roosevelt,-0.12400963449631348,0.24554465904998254
257,1,Speech_257,Franklin Delano Roosevelt,0.015660111630658835,0.15924720191217148
258,1,Speech_258,Franklin Delano Roosevelt,-0.12400963449630523,0.2455446590499698
259,1,Speech_259,Franklin Delano Roosevelt,-0.0778253340686755,0.13110927706534697
260,1,Speech_260,Franklin Delano Roosevelt,-0.12400963449631276,0.24554465904998088
261,1,Speech_261,Franklin Delano Roosevelt,0.01566011163066023,0.15924720191217967
262,3,Speech_262,Franklin Delano Roosevelt,-0.2077549166644347,0.26538986741683634
263,1,Speech_263,Franklin Delano Roosevelt,-0.0072060992297808225,0.11583605011758877
264,1,Speech_264,Franklin Delano Roosevelt,0.0018323745906215795,-0.22498655206336027
265,1,Speech_265,Franklin Delano Roosevelt,-0.27265066208289784,-0.12913308497928333
266,1,Speech_266,Franklin Delano Roosevelt,-0.38105363827174343,-0.23638503259555346
267,1,Speech_267,Franklin Delano Roosevelt,-0.27265066208290856,-0.1291330849792887
268,1,Speech_268,Franklin Delano Roosevelt,-0.2726506620829005,-0.1291330849792826
269,1,Speech_269,Franklin Delano Roosevelt,0.14011531723972498,-0.32100844151674535
270,1,Speech_270,Franklin Delano Roosevelt,-0.1103596906778052,-0.3087463371750237
271,1,Speech_271,Franklin Delano Roosevelt,0.4906936612732172,-0.29274467783845637
272,1,Speech_272,Franklin Delano Roosevelt,0.06324147379984892,-0.02227166124803325
273,1,Speech_273,Franklin Delano Roosevelt,0.054347433589588434,0.06014906198045152
274,1,Speech_274,Franklin Delano Roosevelt,0.4906936612732057,-0.29274467783845826
275,1,Speech_275,Franklin Delano Roosevelt,-0.034858254658420976,-0.2862573684134547
276,1,Speech_276,Franklin Delano Roosevelt,0.5432273619482577,0.40262012959738663
277,1,Speech_277,Franklin Delano Roosevelt,-0.18716200977573857,0.03940840594545469
278,1,Speech_278,Franklin Delano Roosevelt,-0.15503550571753186,0.2728898380816293
279,1,Speech_279,Franklin Delano Roosevelt,0.05434743358958659,0.06014906198044964
280,1,Speech_280,Franklin Delano Roosevelt,0.1213274658113627,0.2035588953013544
